// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	    870000	      7670	      8528
       100	    870000	      7690	      7279
      1000	    870000	      7728	      7286
     10000	    870000	      9857	      5728
    100000	    870000	     20199	      4641
        10	    880000	      8093	      7578
       100	    880000	      7855	      8394
      1000	    880000	      8087	      7472
     10000	    880000	     11348	      7104
    100000	    880000	     21970	      6440
        10	    890000	      8932	      7343
       100	    890000	     10106	      8752
      1000	    890000	      9741	      7310
     10000	    890000	      9762	      5930
    100000	    890000	     19363	      7081
        10	    900000	     11058	      8876
       100	    900000	     10518	      7647
      1000	    900000	     10238	      6809
     10000	    900000	     11923	      8259
    100000	    900000	     20381	      6686
        10	    910000	      9251	      7406
       100	    910000	      9566	      7871
      1000	    910000	      9072	      7845
     10000	    910000	     10771	      8094
    100000	    910000	     19065	      4572
        10	    920000	     17083	      6434
       100	    920000	     31180	      6846
      1000	    920000	      8195	      6403
     10000	    920000	      9231	      6182
    100000	    920000	     16167	      4579
        10	    930000	      8188	      6817
       100	    930000	      8418	      6604
      1000	    930000	      8301	      6847
     10000	    930000	      9115	      5954
    100000	    930000	     16670	      4829
        10	    940000	      8334	      6895
       100	    940000	      8309	      7041
      1000	    940000	      8444	      6825
     10000	    940000	      9096	      6010
    100000	    940000	     16495	      4718
        10	    950000	      8459	      9581
       100	    950000	      8793	      7747
      1000	    950000	      8584	      7923
     10000	    950000	      9422	      8496
    100000	    950000	     17733	      6249
        10	    960000	     10306	      9024
       100	    960000	     11129	      9308
      1000	    960000	      9727	      7832
     10000	    960000	     11593	      8104
    100000	    960000	     20463	      7325
        10	    970000	     10763	      7062
       100	    970000	      9049	      6763
      1000	    970000	      8786	      7461
     10000	    970000	      9403	      6161
    100000	    970000	     17557	      4829
        10	    980000	      8797	      6829
       100	    980000	      8851	      7176
      1000	    980000	      8774	      7167
     10000	    980000	      9461	      6786
    100000	    980000	     17514	      4826
        10	    990000	      9049	      7120
       100	    990000	      8985	      7172
      1000	    990000	      8841	      7403
     10000	    990000	      9558	      6675
    100000	    990000	     17620	      4885
        10	   1000000	      8970	      7253
       100	   1000000	      8864	      7242
      1000	   1000000	      9018	      7323
     10000	   1000000	     12342	      6435
    100000	   1000000	     18993	      6161
